Tier,Federation,CPU Pledge,HEPSPEC06perCPU,Disk Pledge,Tape Pledge,Logical CPU,FederationAccountingName
Tier 0,CH-CERN,51000.0,9.73589374693,7600000.0,20600000.0,5238.0,CERN-PROD
Tier 1,FR-CCIN2P3,23000.0,10.2642484677,2230000.0,4360000.0,2241.0,IN2P3-CC
Tier 1,DE-KIT,24400.0,13.1047281425,2500000.0,4300000.0,1862.0,FZK-LCG2
Tier 1,IT-INFN-CNAF,28080.0,10.909997843,3150000.0,7578000.0,2574.0,INFN-T1
Tier 1,NL-T1,17082.0,15.5761787474,1743000.0,3019000.0,1097.0,NIKHEF-ELPROD
Tier 1,NRC-KI-T1,16400.0,15.5,1260000.0,1480000.0,1058.0,NRC-KI-T1
Tier 1,ES-PIC,9490.0,12.1288285444,969000.0,1677000.0,782.0,pic
Tier 1,UK-T1-RAL,46800.0,10.0,4050000.0,12630000.0,4680.0,RAL-LCG2
Tier 2,"CPPM, Marseille",4000.0,10.88,300000.0,0.0,368.0,FR-IN2P3-CPPM
Tier 2,"GRIF, Paris",6838.0,10.7616580311,300000.0,0.0,635.0,FR-GRIF
Tier 2,"LAPP, Annecy",5100.0,11.2558558559,2000.0,0.0,453.0,FR-IN2P3-LAPP
Tier 2,"LPC, Clermont-Ferrand",2014.0,12.1723000824,2000.0,0.0,165.0,FR-IN2P3-LPC
Tier 2,ATLAS Federation DESY,0.0,12.1535490101,0.0,0.0,0.0,DE-DESY-ATLAS-T2
Tier 2,CMS Federation DESY RWTH Aachen,0.0,11.376296495,0.0,0.0,0.0,DE-DESY-RWTH-CMS-T2
Tier 2,LHCb Federation DESY,4500.0,16.160130719,8000.0,0.0,278.0,DE-DESY-LHCB
Tier 2,IL-HEP Tier-2 Federation,0.0,11.7501163332,0.0,0.0,0.0,IL-HEPTier-2
Tier 2,INFN T2 Federation,15800.0,12.0762366468,0.0,0.0,1308.0,IT-INFN-T2
Tier 2,Latin America Federation,5530.0,14.7732876712,240000.0,0.0,374.0,T2-LATINAMERICA
Tier 2,Pakistan Tier-2 Federation,0.0,12.1469465649,0.0,0.0,0.0,
Tier 2,Polish Tier-2 Federation,3900.0,28.4039705882,0.0,0.0,137.0,PL-TIER2-WLCG
Tier 2,Romanian Tier-2 Federation,6300.0,8.98705803869,360000.0,0.0,701.0,RO-LCG
Tier 2,Russian Data-Intensive GRID,899.0,11.4480040942,65000.0,0.0,79.0,RU-RDIG
Tier 2,LHCb Federation,5265.0,9.66023166023,1000.0,0.0,545.0,ES-LHCb-T2
Tier 2,CHIPP,10000.0,8.83801488834,540000.0,0.0,1131.0,CH-CHIPP-CSCS
Tier 2,Turkish Tier-2 Federation,0.0,5.19070512821,0.0,0.0,0.0,
Tier 2,London Tier 2,2273.0,10.5826027905,300000.0,0.0,215.0,UK-London-Tier2
Tier 2,NorthGrid,7577.0,11.6606085358,300000.0,0.0,650.0,UK-NorthGrid
Tier 2,ScotGrid,1903.0,10.6201641266,1000.0,0.0,179.0,UK-ScotGrid
Tier 2,SouthGrid,6727.0,11.010700858,300000.0,0.0,611.0,UK-SouthGrid